Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Arrival_Time_hr,Arrival_Time_min,Dep_Time_hr,Dep_Time_min,Duration_hr,Duration_min
IndiGo,2019-03-03,Banglore,New Delhi,BLR → DEL,10:05,13:00,2h 55m,0,0,7648,3,3,2019,13,0,10,5,2,55
Air India,2019-12-05,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,21:50,9h 50m,2,0,10676,5,12,2019,21,50,12,0,9,50
Air India,2019-03-06,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,0,0,6961,6,3,2019,12,45,10,0,2,45
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,11:25,01:30,14h 5m,1,0,6979,15,5,2019,1,30,11,25,14,5
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1,0,13587,27,5,2019,21,0,9,0,12,0
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1,1,10844,24,5,2019,23,35,14,5,9,30
IndiGo,2019-12-05,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,0,0,3943,5,12,2019,13,0,10,10,2,50
IndiGo,2019-12-06,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,11h 45m,1,0,6838,6,12,2019,21,0,9,15,11,45
Jet Airways,2019-04-15,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1,1,6542,15,4,2019,19,0,13,0,6,0
Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1,1,12239,21,5,2019,19,0,7,5,11,55
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40,12h 10m,1,0,14388,5,12,2019,4,40,16,30,12,10
IndiGo,2019-12-03,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,0,0,4148,3,12,2019,8,20,5,30,2,50
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → IDR → BOM → COK,15:05,01:30,10h 25m,2,0,16840,18,5,2019,1,30,15,5,10,25
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → HYD → COK,09:45,22:30,12h 45m,1,0,9646,6,3,2019,22,30,9,45,12,45
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,21:10,18:15,21h 5m,1,0,14571,6,9,2019,18,15,21,10,21,5
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,16:00,01:30,9h 30m,1,0,7923,15,5,2019,1,30,16,0,9,30
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40,8h 40m,1,1,8586,5,12,2019,4,40,20,0,8,40
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1,0,9646,6,3,2019,22,30,13,15,9,15
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,14:05,12:00,21h 55m,1,0,14388,18,5,2019,12,0,14,5,21,55
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,16:30,16:20,23h 50m,1,0,13044,6,12,2019,16,20,16,30,23,50
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1,0,10197,21,5,2019,19,0,10,0,9,0
Jet Airways,2019-01-06,Delhi,Cochin,DEL → BOM → COK,19:45,19:00,23h 15m,1,0,14714,6,1,2019,19,0,19,45,23,15
Air India,2019-01-06,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1,0,9929,6,1,2019,19,15,10,0,9,15
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,22:50,04:25,5h 35m,1,1,6017,21,3,2019,4,25,22,50,5,35
SpiceJet,2019-06-27,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,0,0,3597,27,6,2019,12,0,9,45,2,15
Air India,2019-03-21,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,9h 30m,1,0,5704,21,3,2019,23,0,13,30,9,30
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,19:45,04:25,8h 40m,1,0,14714,6,3,2019,4,25,19,45,8,40
Air India,2019-12-05,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,0,0,5228,5,12,2019,12,45,10,0,2,45
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55,25h 20m,1,0,11467,4,1,2019,10,55,9,35,25,20
Vistara,2019-06-06,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,0,0,4668,6,6,2019,12,35,9,45,2,50
IndiGo,2019-04-18,Banglore,Delhi,BLR → DEL,21:15,00:15,3h,0,0,4591,18,4,2019,0,15,21,15,3,0
IndiGo,2019-12-05,Banglore,Delhi,BLR → DEL,21:15,00:15,3h,0,0,3943,5,12,2019,0,15,21,15,3,0
Air India,2019-04-21,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,0,0,5228,21,4,2019,12,45,10,0,2,45
Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,02:15,18:50,16h 35m,1,0,12242,27,3,2019,18,50,2,15,16,35
Air India,2019-09-06,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25,26h 20m,2,0,11185,6,9,2019,9,25,7,5,26,20
IndiGo,2019-09-04,Delhi,Cochin,DEL → BOM → COK,09:15,01:30,16h 15m,1,0,6573,4,9,2019,1,30,9,15,16,15
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,16:30,22:35,6h 5m,1,0,14781,15,5,2019,22,35,16,30,6,5
Air India,2019-12-06,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,08:55,16h 10m,2,0,14960,6,12,2019,8,55,16,45,16,10
IndiGo,2019-05-15,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,0,0,4332,15,5,2019,14,0,11,35,2,25
Air Asia,2019-03-03,Banglore,New Delhi,BLR → DEL,05:50,08:40,2h 50m,0,0,7652,3,3,2019,8,40,5,50,2,50
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1,0,14151,24,5,2019,21,5,9,35,11,30
SpiceJet,2019-12-06,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,0,2,4319,6,12,2019,12,20,9,30,2,50
Jet Airways,2019-03-21,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,18:50,23h 40m,2,0,10929,21,3,2019,18,50,19,10,23,40
Air India,2019-03-24,Kolkata,Banglore,CCU → DEL → VGA → BLR,07:00,10:00,27h,2,0,11491,24,3,2019,10,0,7,0,27,0
IndiGo,2019-04-18,Delhi,Cochin,DEL → COK,14:20,17:35,3h 15m,0,0,6015,18,4,2019,17,35,14,20,3,15
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1,0,12692,6,12,2019,21,5,9,35,11,30
Air Asia,2019-09-03,Kolkata,Banglore,CCU → BLR,22:50,01:20,2h 30m,0,0,4384,3,9,2019,1,20,22,50,2,30
IndiGo,2019-03-06,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,0,0,3943,6,3,2019,8,50,6,5,2,45
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1,1,12373,18,5,2019,19,0,9,0,10,0
Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,13:15,5h 15m,1,0,19225,3,6,2019,13,15,8,0,5,15
Jet Airways,2019-09-03,Delhi,Cochin,DEL → BOM → COK,19:45,18:50,23h 5m,1,1,14053,3,9,2019,18,50,19,45,23,5
Air India,2019-12-04,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,0,0,5911,4,12,2019,16,10,13,20,2,50
Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,12h 20m,1,0,10877,6,9,2019,19,0,6,40,12,20
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40,9h 45m,1,1,7757,6,6,2019,4,40,18,55,9,45
IndiGo,2019-03-21,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1,0,6558,21,3,2019,16,10,7,35,8,35
IndiGo,2019-04-21,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,0,0,4804,21,4,2019,12,20,9,35,2,45
Jet Airways,2019-03-18,Mumbai,Hyderabad,BOM → HYD,15:50,17:20,1h 30m,0,0,5678,18,3,2019,17,20,15,50,1,30
Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,10:00,04:25,18h 25m,1,1,12373,5,9,2019,4,25,10,0,18,25
Jet Airways,2019-06-05,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,0,1,5198,5,6,2019,8,45,6,0,2,45
IndiGo,2019-01-06,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,0,0,6064,6,1,2019,16,55,14,25,2,30
Jet Airways,2019-09-03,Delhi,Cochin,DEL → BOM → COK,21:50,04:25,6h 35m,1,0,15029,3,9,2019,4,25,21,50,6,35
Jet Airways,2019-09-04,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2,0,10909,4,9,2019,19,0,5,30,13,30
Multiple carriers,2019-09-03,Delhi,Cochin,DEL → BOM → COK,08:40,19:45,11h 5m,1,0,18492,3,9,2019,19,45,8,40,11,5
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,02:15,04:25,26h 10m,1,1,10262,24,6,2019,4,25,2,15,26,10
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → GAU → BLR,11:50,17:35,5h 45m,1,0,8781,18,5,2019,17,35,11,50,5,45
IndiGo,2019-05-27,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,7h 35m,1,0,6442,27,5,2019,16,10,8,35,7,35
Jet Airways,2019-12-03,Mumbai,Hyderabad,BOM → DEL → HYD,09:50,16:35,6h 45m,1,0,20120,3,12,2019,16,35,9,50,6,45
Vistara,2019-05-27,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,0,0,4878,27,5,2019,22,15,19,30,2,45
Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,18:25,12h 40m,1,0,16736,3,6,2019,18,25,5,45,12,40
SpiceJet,2019-05-24,Kolkata,Banglore,CCU → IXB → BLR,11:15,18:30,7h 15m,1,0,9630,24,5,2019,18,30,11,15,7,15
Vistara,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,07:10,18:50,11h 40m,1,0,8610,5,9,2019,18,50,7,10,11,40
Vistara,2019-06-27,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,0,0,3687,27,6,2019,9,20,7,5,2,15
Vistara,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05,12h 45m,1,0,8452,15,5,2019,9,5,20,20,12,45
IndiGo,2019-05-18,Banglore,Delhi,BLR → DEL,10:30,13:20,2h 50m,0,0,3943,18,5,2019,13,20,10,30,2,50
IndiGo,2019-03-15,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1h 25m,0,0,3342,15,3,2019,7,45,6,20,1,25
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25,18h,1,0,13067,5,12,2019,14,25,20,25,18,0
Vistara,2019-06-05,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,0,0,4878,5,6,2019,22,15,19,30,2,45
Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05,12h 55m,1,0,14388,5,9,2019,10,5,21,10,12,55
Jet Airways,2019-05-27,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,04:25,15h,2,0,16704,27,5,2019,4,25,13,25,15,0
Air India,2019-05-21,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,0,0,3100,21,5,2019,20,45,19,30,1,15
Air India,2019-12-03,Banglore,New Delhi,BLR → BOM → IDR → GWL → DEL,17:25,18:05,24h 40m,3,0,13387,3,12,2019,18,5,17,25,24,40
IndiGo,2019-09-06,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1h 30m,0,0,4049,6,9,2019,10,40,9,10,1,30
Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2,1,13029,18,5,2019,19,0,5,30,13,30
SpiceJet,2019-09-04,Banglore,Delhi,BLR → DEL,21:10,00:05,2h 55m,0,2,3919,4,9,2019,0,5,21,10,2,55
IndiGo,2019-03-05,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,0,0,3850,5,3,2019,7,40,5,15,2,25
Air India,2019-06-24,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25,20h 10m,2,0,8839,24,6,2019,9,25,13,15,20,10
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40,12h 10m,1,1,7064,4,1,2019,4,40,16,30,12,10
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15,12h 15m,1,0,13941,5,12,2019,8,15,20,0,12,15
Air India,2019-05-24,Kolkata,Banglore,CCU → DEL → COK → TRV → BLR,10:00,10:30,24h 30m,3,0,13007,24,5,2019,10,30,10,0,24,30
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1,0,14781,18,5,2019,22,35,14,5,8,30
Jet Airways,2019-03-18,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,0,1,2071,18,3,2019,21,5,19,35,1,30
Jet Airways,2019-06-21,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,0,1,4256,21,6,2019,14,15,11,0,3,15
Vistara,2019-09-03,Banglore,New Delhi,BLR → DEL,16:00,18:35,2h 35m,0,0,7923,3,9,2019,18,35,16,0,2,35
Air Asia,2019-03-15,Kolkata,Banglore,CCU → BLR,22:50,01:20,2h 30m,0,0,3782,15,3,2019,1,20,22,50,2,30
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45,13h 20m,1,1,12384,15,5,2019,9,45,20,25,13,20
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,10:00,01:35,15h 35m,1,1,8565,21,3,2019,1,35,10,0,15,35
IndiGo,2019-03-21,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1,0,6232,21,3,2019,21,0,16,0,5,0
IndiGo,2019-09-03,Banglore,New Delhi,BLR → DEL,05:30,08:20,2h 50m,0,0,4777,3,9,2019,8,20,5,30,2,50
Air India,2019-01-06,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,0,0,4145,6,1,2019,23,20,20,45,2,35
Air Asia,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,22:40,10:40,12h,1,0,5192,15,5,2019,10,40,22,40,12,0
Air India,2019-01-04,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,0,0,4729,4,1,2019,8,0,5,10,2,50
IndiGo,2019-03-06,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,14h 20m,1,0,6093,6,3,2019,21,0,6,40,14,20
Air India,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,09:25,18:30,9h 5m,1,0,8891,5,1,2019,18,30,9,25,9,5
Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,16:00,04:25,12h 25m,1,0,12242,27,3,2019,4,25,16,0,12,25
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:00,25h,1,0,11467,5,1,2019,18,0,17,0,25,0
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20,12h 10m,1,0,14781,21,5,2019,9,20,21,10,12,10
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,07:00,19:00,12h,1,0,10197,18,5,2019,19,0,7,0,12,0
Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,21:25,09:30,12h 5m,1,0,17261,3,6,2019,9,30,21,25,12,5
Air India,2019-01-05,Delhi,Cochin,DEL → MAA → COK,20:40,09:25,12h 45m,1,0,7480,5,1,2019,9,25,20,40,12,45
IndiGo,2019-05-21,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,0,0,4804,21,5,2019,18,5,15,30,2,35
SpiceJet,2019-04-21,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,0,2,4439,21,4,2019,11,25,9,0,2,25
Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25,22h 55m,2,1,10368,6,6,2019,4,25,5,30,22,55
SpiceJet,2019-03-21,Delhi,Cochin,DEL → MAA → COK,06:10,11:20,5h 10m,1,0,6065,21,3,2019,11,20,6,10,5,10
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40,9h 45m,1,1,8586,24,5,2019,4,40,18,55,9,45
IndiGo,2019-03-18,Delhi,Cochin,DEL → COK,14:30,17:35,3h 5m,0,0,5406,18,3,2019,17,35,14,30,3,5
Jet Airways,2019-06-06,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,04:25,10h,2,1,12142,6,6,2019,4,25,18,25,10,0
Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1,0,14714,6,6,2019,12,35,2,15,10,20
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,02:15,04:25,26h 10m,1,1,10262,15,6,2019,4,25,2,15,26,10
Air India,2019-06-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,23:55,12h 5m,1,0,15434,3,6,2019,23,55,11,50,12,5
Air India,2019-05-18,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10,23h 10m,2,0,10676,18,5,2019,11,10,12,0,23,10
IndiGo,2019-04-21,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,0,0,4804,21,4,2019,22,55,20,20,2,35
Jet Airways,2019-09-06,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35,17h 5m,2,0,13014,6,9,2019,12,35,19,30,17,5
IndiGo,2019-03-05,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,0,0,3943,5,3,2019,13,0,10,10,2,50
Air India,2019-06-03,Mumbai,Hyderabad,BOM → COK → MAA → HYD,05:30,22:00,16h 30m,2,0,9678,3,6,2019,22,0,5,30,16,30
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1,0,14781,15,5,2019,19,50,8,25,11,25
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1,0,10197,15,5,2019,19,0,9,0,10,0
Air India,2019-09-05,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2,0,10861,5,9,2019,19,15,5,55,13,20
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40,7h 30m,1,1,10844,5,1,2019,4,40,21,10,7,30
Air India,2019-05-21,Delhi,Cochin,DEL → MAA → COK,17:20,09:25,16h 5m,1,0,7480,21,5,2019,9,25,17,20,16,5
IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,17:10,01:30,8h 20m,1,0,5684,24,6,2019,1,30,17,10,8,20
Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,16:00,19:00,27h,1,0,14714,6,6,2019,19,0,16,0,27,0
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1,1,9314,4,1,2019,18,0,9,35,8,25
Air India,2019-03-15,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,0,0,4435,15,3,2019,23,20,20,45,2,35
Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1,0,11789,27,6,2019,19,0,7,30,11,30
SpiceJet,2019-03-04,Banglore,Delhi,BLR → DEL,21:10,00:05,2h 55m,0,2,3919,4,3,2019,0,5,21,10,2,55
Jet Airways,2019-06-04,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,0,1,5198,4,6,2019,18,10,15,15,2,55
SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,0,2,4273,24,3,2019,8,35,5,45,2,50
Vistara,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50,25h 50m,1,0,8820,5,9,2019,18,50,17,0,25,50
IndiGo,2019-06-05,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,0,0,2754,5,6,2019,13,30,12,0,1,30
Vistara,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,20:20,23:25,27h 5m,1,0,8085,6,9,2019,23,25,20,20,27,5
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,20:25,21:05,24h 40m,1,1,10539,6,9,2019,21,5,20,25,24,40
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,12h 30m,1,0,14676,6,9,2019,22,5,9,35,12,30
Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,02:15,04:25,26h 10m,1,1,6017,27,3,2019,4,25,2,15,26,10
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,0,1,4544,4,1,2019,22,0,18,55,3,5
Trujet,2019-06-03,Mumbai,Hyderabad,BOM → NDC → HYD,13:05,16:20,3h 15m,1,0,4140,3,6,2019,16,20,13,5,3,15
Jet Airways,2019-03-05,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,0,0,7229,5,3,2019,14,5,11,10,2,55
Air India,2019-09-03,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,21h 15m,2,0,16373,3,9,2019,19,15,22,0,21,15
Air India,2019-01-05,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,23:15,17h 25m,2,0,10991,5,1,2019,23,15,5,50,17,25
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,14:05,12:00,21h 55m,1,1,9663,18,5,2019,12,0,14,5,21,55
Air India,2019-01-03,Banglore,New Delhi,BLR → COK → DEL,22:00,23:20,25h 20m,1,5,14305,3,1,2019,23,20,22,0,25,20
Air Asia,2019-05-15,Delhi,Cochin,DEL → BLR → COK,16:45,07:10,14h 25m,1,0,6752,15,5,2019,7,10,16,45,14,25
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,16:30,09:20,16h 50m,1,1,8529,6,12,2019,9,20,16,30,16,50
IndiGo,2019-03-27,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,0,0,4729,27,3,2019,8,50,5,35,3,15
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,08:45,21:00,12h 15m,1,0,7670,18,5,2019,21,0,8,45,12,15
Jet Airways,2019-03-05,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,0,1,4995,5,3,2019,11,50,10,20,1,30
Jet Airways,2019-01-05,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,0,0,7229,5,1,2019,11,20,8,20,3,0
IndiGo,2019-04-27,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,0,0,4823,27,4,2019,10,5,7,10,2,55
Air Asia,2019-03-27,Kolkata,Banglore,CCU → BLR,19:35,22:05,2h 30m,0,0,3782,27,3,2019,22,5,19,35,2,30
Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,18:15,19:00,24h 45m,1,1,12898,21,5,2019,19,0,18,15,24,45
SpiceJet,2019-05-24,Kolkata,Banglore,CCU → BLR,22:20,00:40,2h 20m,0,2,3841,24,5,2019,0,40,22,20,2,20
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,10:35,19:00,8h 25m,1,0,9627,18,5,2019,19,0,10,35,8,25
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00,14h 50m,1,0,14571,6,9,2019,12,0,21,10,14,50
IndiGo,2019-03-24,Kolkata,Banglore,CCU → BLR,15:20,17:55,2h 35m,0,0,6985,24,3,2019,17,55,15,20,2,35
Jet Airways,2019-06-21,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,0,0,8040,21,6,2019,8,30,7,5,1,25
IndiGo,2019-06-21,Kolkata,Banglore,CCU → BLR,22:15,00:50,2h 35m,0,0,4804,21,6,2019,0,50,22,15,2,35
Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,04:55,19:00,14h 5m,1,0,10678,27,6,2019,19,0,4,55,14,5
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,16:55,18:10,25h 15m,1,0,14231,24,3,2019,18,10,16,55,25,15
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,16:20,20h 20m,1,1,8529,6,12,2019,16,20,20,0,20,20
Air India,2019-06-24,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,19:15,8h 20m,2,0,11753,24,6,2019,19,15,10,55,8,20
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25,29h 20m,2,0,16704,18,5,2019,4,25,23,5,29,20
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40,9h 45m,1,0,13374,6,6,2019,4,40,18,55,9,45
Air India,2019-01-05,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,0,0,3625,5,1,2019,22,25,21,5,1,20
Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,16:00,19:00,27h,1,0,16079,21,5,2019,19,0,16,0,27,0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,20:55,12:35,15h 40m,1,1,10262,27,6,2019,12,35,20,55,15,40
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1,1,9663,15,5,2019,12,0,6,30,5,30
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,18:00,01:30,7h 30m,1,0,9595,18,5,2019,1,30,18,0,7,30
IndiGo,2019-06-24,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,0,0,4804,24,6,2019,19,50,17,15,2,35
Air India,2019-09-06,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25,19h 25m,2,0,12744,6,9,2019,5,25,10,0,19,25
Air India,2019-01-06,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,0,0,6961,6,1,2019,16,10,13,20,2,50
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40,14h 35m,1,1,9663,5,6,2019,4,40,14,5,14,35
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1,0,7575,21,5,2019,19,15,10,35,8,40
Air India,2019-03-03,Banglore,New Delhi,BLR → BOM → NAG → DEL,19:10,10:35,15h 25m,2,0,13355,3,3,2019,10,35,19,10,15,25
Air India,2019-05-24,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,13:45,28h 20m,2,0,12592,24,5,2019,13,45,9,25,28,20
Air India,2019-01-06,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,0,0,3625,6,1,2019,15,25,13,55,1,30
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,15:00,04:25,13h 25m,1,1,10262,24,6,2019,4,25,15,0,13,25
Air India,2019-05-21,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15,23h 30m,2,0,9443,21,5,2019,19,15,19,45,23,30
