Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Arrival_Time_hr,Arrival_Time_min,Dep_Time_hr,Dep_Time_min,Duration_hr,Duration_min,Total_Duration
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1,0,6069.0,27,6,2019,21,0,16,0,5,0,300.0
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,16:30,19:50,27h 20m,1,1,8529.0,6,12,2019,19,50,16,30,27,20,1640.0
Vistara,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:25,6h 25m,1,0,8085.0,5,9,2019,23,25,17,0,6,25,385.0
Vistara,2019-05-15,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,0,0,4878.0,15,5,2019,22,15,19,30,2,45,165.0
IndiGo,2019-03-04,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,0,0,4077.0,4,3,2019,15,50,13,0,2,50,170.0
IndiGo,2019-09-05,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15,5h 15m,1,0,7605.0,5,9,2019,2,15,21,0,5,15,315.0
Jet Airways,2019-06-15,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25,22h 55m,2,0,13014.0,15,6,2019,4,25,5,30,22,55,1375.0
IndiGo,2019-03-03,Delhi,Cochin,DEL → HYD → COK,07:35,22:20,14h 45m,1,0,11600.0,3,3,2019,22,20,7,35,14,45,885.0
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45,16h 45m,1,0,14151.0,5,12,2019,9,45,17,0,16,45,1005.0
Air India,2019-06-24,Delhi,Cochin,DEL → HYD → BOM → COK,13:15,07:40,18h 25m,2,0,12497.0,24,6,2019,7,40,13,15,18,25,1105.0
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,02:15,18:50,16h 35m,1,0,17024.0,3,6,2019,18,50,2,15,16,35,995.0
SpiceJet,2019-09-03,Chennai,Kolkata,MAA → CCU,09:30,12:05,2h 35m,0,0,6300.0,3,9,2019,12,5,9,30,2,35,155.0
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,17:45,01:35,7h 50m,1,0,15147.0,3,6,2019,1,35,17,45,7,50,470.0
Multiple carriers,2019-01-06,Delhi,Cochin,DEL → BOM → COK,12:50,01:30,12h 40m,1,0,6795.0,6,1,2019,1,30,12,50,12,40,760.0
IndiGo,2019-03-03,Mumbai,Hyderabad,BOM → HYD,19:05,20:30,1h 25m,0,0,5755.0,3,3,2019,20,30,19,5,1,25,85.0
Air India,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,20:30,16:15,19h 45m,1,0,10203.0,5,12,2019,16,15,20,30,19,45,1185.0
Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,11:30,04:25,16h 55m,1,0,14714.0,6,6,2019,4,25,11,30,16,55,1015.0
IndiGo,2019-03-18,Banglore,New Delhi,BLR → DEL,22:20,01:10,2h 50m,0,0,4545.0,18,3,2019,1,10,22,20,2,50,170.0
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,06:30,20:45,14h 15m,1,0,14781.0,15,5,2019,20,45,6,30,14,15,855.0
Air India,2019-12-03,Banglore,New Delhi,BLR → TRV → COK → DEL,07:30,11:05,27h 35m,2,0,11602.0,3,12,2019,11,5,7,30,27,35,1655.0
IndiGo,2019-06-05,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,0,0,4049.0,5,6,2019,7,55,6,25,1,30,90.0
Jet Airways,2019-09-05,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25,22h 55m,2,1,13029.0,5,9,2019,4,25,5,30,22,55,1375.0
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,0,14571.0,6,9,2019,20,45,8,25,12,20,740.0
Air India,2019-09-06,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,0,0,6961.0,6,9,2019,8,55,6,10,2,45,165.0
SpiceJet,2019-05-15,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1,0,6381.0,15,5,2019,17,15,8,35,8,40,520.0
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,0,2,3841.0,4,1,2019,9,30,6,55,2,35,155.0
Jet Airways,2019-03-21,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,04:25,22h 5m,2,0,11538.0,21,3,2019,4,25,6,20,22,5,1325.0
Vistara,2019-06-05,Kolkata,Banglore,CCU → DEL → BLR,20:20,20:20,24h,1,0,8610.0,5,6,2019,20,20,20,20,24,0,1440.0
Air India,2019-06-03,Delhi,Cochin,DEL → HYD → BOM → COK,07:05,19:15,36h 10m,2,0,11552.0,3,6,2019,19,15,7,5,36,10,2070.0
Multiple carriers,2019-01-06,Delhi,Cochin,DEL → BOM → COK,07:00,21:00,14h,1,0,7408.0,6,1,2019,21,0,7,0,14,0,840.0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,19:45,12:35,16h 50m,1,1,10262.0,27,6,2019,12,35,19,45,16,50,1010.0
Air India,2019-06-05,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,08:55,27h 5m,2,0,10991.0,5,6,2019,8,55,5,50,27,5,1625.0
Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,18:15,01:30,7h 15m,1,0,13587.0,6,9,2019,1,30,18,15,7,15,435.0
Air India,2019-05-15,Delhi,Cochin,DEL → MAA → COK,12:30,09:25,20h 55m,1,0,7480.0,15,5,2019,9,25,12,30,20,55,1255.0
IndiGo,2019-09-03,Banglore,New Delhi,BLR → IDR → DEL,17:55,22:55,5h,1,0,6351.0,3,9,2019,22,55,17,55,5,0,300.0
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1,1,7153.0,27,5,2019,21,0,14,0,7,0,420.0
Air Asia,2019-06-05,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,0,0,4409.0,5,6,2019,22,25,19,55,2,30,150.0
IndiGo,2019-05-15,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15,5h 15m,1,0,7228.0,15,5,2019,2,15,21,0,5,15,315.0
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1,0,11667.0,27,3,2019,18,50,8,0,10,50,650.0
SpiceJet,2019-12-06,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1,0,4649.0,6,12,2019,20,20,15,5,5,15,315.0
Air India,2019-09-05,Kolkata,Banglore,CCU → BOM → COK → BLR,16:50,13:45,20h 55m,2,0,12592.0,5,9,2019,13,45,16,50,20,55,1255.0
Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,10:20,19:00,8h 40m,1,0,11789.0,6,12,2019,19,0,10,20,8,40,520.0
Air India,2019-01-06,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,0,0,4667.0,6,1,2019,13,55,11,40,2,15,135.0
Air Asia,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,22:40,10:40,12h,1,0,9719.0,21,5,2019,10,40,22,40,12,0,720.0
Air India,2019-03-27,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1,0,6902.0,27,3,2019,19,15,13,0,6,15,375.0
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40,8h 40m,1,0,14781.0,21,5,2019,4,40,20,0,8,40,520.0
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,08:25,22:35,14h 10m,1,1,10844.0,18,5,2019,22,35,8,25,14,10,850.0
Air India,2019-03-24,Kolkata,Banglore,CCU → IXZ → MAA → BLR,05:40,14:35,32h 55m,2,0,11522.0,24,3,2019,14,35,5,40,32,55,1975.0
Air India,2019-04-21,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,0,0,6121.0,21,4,2019,16,10,13,20,2,50,170.0
Vistara,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:25,6h 25m,1,0,8610.0,6,6,2019,23,25,17,0,6,25,385.0
Air Asia,2019-03-24,Kolkata,Banglore,CCU → BLR,22:50,01:20,2h 30m,0,0,5620.0,24,3,2019,1,20,22,50,2,30,150.0
IndiGo,2019-05-27,Kolkata,Banglore,CCU → BLR,15:15,17:45,2h 30m,0,0,4804.0,27,5,2019,17,45,15,15,2,30,150.0
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1,0,7005.0,27,5,2019,21,0,10,20,10,40,640.0
Jet Airways,2019-01-05,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,19h 55m,2,0,15129.0,5,1,2019,19,0,23,5,19,55,1195.0
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40,8h 40m,1,1,8586.0,24,5,2019,4,40,20,0,8,40,520.0
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1,0,10197.0,18,5,2019,19,0,8,0,11,0,660.0
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,09:10,19:15,10h 5m,1,0,10667.0,27,3,2019,19,15,9,10,10,5,605.0
IndiGo,2019-12-06,Kolkata,Banglore,CCU → PAT → BLR,09:20,14:15,4h 55m,1,0,11160.0,6,12,2019,14,15,9,20,4,55,295.0
Air India,2019-05-27,Delhi,Cochin,DEL → LKO → BOM → COK,12:20,19:15,30h 55m,2,0,12488.0,27,5,2019,19,15,12,20,30,55,1855.0
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1,1,10844.0,18,5,2019,19,50,8,25,11,25,685.0
Air India,2019-03-06,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15,26h 35m,2,0,9968.0,6,3,2019,19,15,16,40,26,35,1595.0
Jet Airways,2019-05-18,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,0,1,5198.0,18,5,2019,22,0,18,55,3,5,185.0
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40,14h 35m,1,1,8586.0,5,1,2019,4,40,14,5,14,35,875.0
IndiGo,2019-05-18,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,0,0,4332.0,18,5,2019,14,0,11,35,2,25,145.0
IndiGo,2019-06-05,Kolkata,Banglore,CCU → MAA → BLR,08:10,13:00,4h 50m,1,0,5069.0,5,6,2019,13,0,8,10,4,50,290.0
Jet Airways,2019-06-05,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,0,1,4544.0,5,6,2019,11,20,8,20,3,0,180.0
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,04:00,15:30,11h 30m,1,0,14973.0,3,3,2019,15,30,4,0,11,30,690.0
Air India,2019-12-03,Banglore,New Delhi,BLR → BOM → IDR → GWL → DEL,06:45,18:05,35h 20m,3,0,13387.0,3,12,2019,18,5,6,45,35,20,2070.0
SpiceJet,2019-09-06,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,0,3625.0,6,9,2019,8,35,5,55,2,40,160.0
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25,28h 50m,1,1,10703.0,24,5,2019,14,25,9,35,28,50,1730.0
IndiGo,2019-03-24,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,0,0,7615.0,24,3,2019,17,45,15,10,2,35,155.0
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,0,0,4823.0,27,5,2019,21,20,18,25,2,55,175.0
Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,05:05,17h 25m,1,0,16736.0,3,6,2019,5,5,11,40,17,25,1045.0
Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00,14h 50m,1,1,9663.0,5,9,2019,12,0,21,10,14,50,890.0
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10h 30m,1,0,9205.0,18,5,2019,19,0,8,30,10,30,630.0
Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,22:50,04:25,5h 35m,1,0,15554.0,5,9,2019,4,25,22,50,5,35,335.0
SpiceJet,2019-05-15,Mumbai,Hyderabad,BOM → HYD,22:45,00:15,1h 30m,0,2,1965.0,15,5,2019,0,15,22,45,1,30,90.0
Air India,2019-06-15,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,0,0,5510.0,15,6,2019,16,45,14,15,2,30,150.0
Multiple carriers,2019-09-05,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8h 55m,1,0,8266.0,5,9,2019,19,15,10,20,8,55,535.0
IndiGo,2019-05-27,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,0,0,3175.0,27,5,2019,18,25,16,55,1,30,90.0
SpiceJet,2019-09-05,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1,2,4760.0,5,9,2019,13,15,8,45,4,30,270.0
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,08:45,21:00,12h 15m,1,0,7740.0,27,5,2019,21,0,8,45,12,15,735.0
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1,0,13941.0,15,5,2019,23,35,14,5,9,30,570.0
Air Asia,2019-06-06,Delhi,Cochin,DEL → BLR → COK,16:45,07:10,14h 25m,1,0,11410.0,6,6,2019,7,10,16,45,14,25,865.0
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,16:30,19:50,27h 20m,1,0,12681.0,4,1,2019,19,50,16,30,27,20,1640.0
Jet Airways,2019-06-05,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35,26h 55m,2,0,15129.0,5,6,2019,12,35,9,40,26,55,1615.0
Jet Airways,2019-12-06,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2,1,10368.0,6,12,2019,19,0,5,30,13,30,810.0
Air India,2019-05-21,Kolkata,Banglore,CCU → JAI → DEL → BLR,08:20,20:25,12h 5m,2,0,12324.0,21,5,2019,20,25,8,20,12,5,725.0
SpiceJet,2019-04-15,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,0,2,3841.0,15,4,2019,19,40,17,10,2,30,150.0
Jet Airways,2019-06-24,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25,22h 55m,2,0,13014.0,24,6,2019,4,25,5,30,22,55,1375.0
IndiGo,2019-06-27,Delhi,Cochin,DEL → HYD → COK,06:50,22:30,15h 40m,1,0,6442.0,27,6,2019,22,30,6,50,15,40,940.0
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1,1,12373.0,18,5,2019,19,0,14,0,5,0,300.0
Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,23:00,14h 5m,1,0,13817.0,3,12,2019,23,0,8,55,14,5,845.0
IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,0,0,4823.0,24,6,2019,21,50,18,55,2,55,175.0
Jet Airways,2019-03-27,Delhi,Cochin,DEL → MAA → BOM → COK,05:10,04:25,23h 15m,2,1,9412.0,27,3,2019,4,25,5,10,23,15,1395.0
Air India,2019-05-27,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,21h 15m,2,0,10231.0,27,5,2019,19,15,22,0,21,15,1275.0
Jet Airways,2019-09-04,Banglore,Delhi,BLR → DEL,15:50,18:45,2h 55m,0,0,7229.0,4,9,2019,18,45,15,50,2,55,175.0
SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,09:35,12:30,2h 55m,0,2,4273.0,24,3,2019,12,30,9,35,2,55,175.0
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,18:55,20:45,25h 50m,1,1,10844.0,18,5,2019,20,45,18,55,25,50,1550.0
IndiGo,2019-05-27,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1,0,7164.0,27,5,2019,7,25,2,0,5,25,325.0
Jet Airways,2019-06-27,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,0,1,6478.0,27,6,2019,10,10,7,10,3,0,180.0
Jet Airways,2019-12-05,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,0,1,5198.0,5,12,2019,10,10,7,10,3,0,180.0
SpiceJet,2019-04-27,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,2,4319.0,27,4,2019,8,35,5,55,2,40,160.0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,19:15,12:35,17h 20m,1,1,10262.0,27,6,2019,12,35,19,15,17,20,1040.0
Vistara,2019-05-18,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,0,0,6741.0,18,5,2019,17,50,14,40,3,10,190.0
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1,0,14571.0,6,6,2019,22,35,14,5,8,30,510.0
Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,23:55,12h 5m,1,5,23017.0,3,1,2019,23,55,11,50,12,5,725.0
Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,19:15,8h 20m,2,0,11753.0,27,6,2019,19,15,10,55,8,20,500.0
Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,08:00,23:00,15h,1,1,7832.0,21,3,2019,23,0,8,0,15,0,900.0
Vistara,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,13h 10m,1,0,8610.0,5,1,2019,20,20,7,10,13,10,790.0
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1,0,13626.0,6,12,2019,22,35,14,5,8,30,510.0
Jet Airways,2019-09-06,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35,26h 55m,2,1,10368.0,6,9,2019,12,35,9,40,26,55,1615.0
IndiGo,2019-06-18,Mumbai,Hyderabad,BOM → HYD,02:35,04:05,1h 30m,0,0,2754.0,18,6,2019,4,5,2,35,1,30,90.0
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:00,25h,1,0,12692.0,6,6,2019,18,0,17,0,25,0,1500.0
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,10:05,13:00,2h 55m,0,0,10067.0,3,1,2019,13,0,10,5,2,55,175.0
GoAir,2019-03-06,Delhi,Cochin,DEL → BOM → COK,10:35,19:35,9h,1,0,4959.0,6,3,2019,19,35,10,35,9,0,540.0
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → IDR → DEL,08:50,11:10,26h 20m,2,0,19372.0,3,1,2019,11,10,8,50,26,20,1580.0
Air India,2019-05-18,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1h 20m,0,0,3100.0,18,5,2019,7,40,6,20,1,20,80.0
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1,0,8405.0,15,5,2019,21,0,7,30,13,30,810.0
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1,1,6943.0,27,5,2019,21,0,11,30,9,30,570.0
SpiceJet,2019-04-27,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,0,2,3841.0,27,4,2019,19,40,17,10,2,30,150.0
SpiceJet,2019-06-06,Mumbai,Hyderabad,BOM → HYD,22:45,00:15,1h 30m,0,0,2017.0,6,6,2019,0,15,22,45,1,30,90.0
Vistara,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:45,17h 45m,1,0,9187.0,5,1,2019,10,45,17,0,17,45,1065.0
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1,0,13941.0,5,12,2019,19,50,8,25,11,25,685.0
Jet Airways,2019-03-21,Delhi,Cochin,DEL → MAA → BOM → COK,19:15,18:50,23h 35m,2,1,8938.0,21,3,2019,18,50,19,15,23,35,1415.0
SpiceJet,2019-05-18,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,0,2,4319.0,18,5,2019,12,20,9,30,2,50,170.0
SpiceJet,2019-01-04,Banglore,Delhi,BLR → DEL,21:10,00:05,2h 55m,0,2,3573.0,4,1,2019,0,5,21,10,2,55,175.0
SpiceJet,2019-03-05,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,0,2,3841.0,5,3,2019,11,25,9,0,2,25,145.0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,0,1,7202.0,27,6,2019,14,15,11,0,3,15,195.0
Vistara,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,17:00,22:55,5h 55m,1,0,9187.0,6,9,2019,22,55,17,0,5,55,355.0
GoAir,2019-03-06,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6h 10m,1,0,6976.0,6,3,2019,13,35,7,25,6,10,370.0
Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,18:15,12:35,18h 20m,1,1,12898.0,21,5,2019,12,35,18,15,18,20,1100.0
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,02:15,04:25,26h 10m,1,1,12898.0,27,5,2019,4,25,2,15,26,10,1570.0
Jet Airways,2019-06-15,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,19:00,21h 35m,2,1,10588.0,15,6,2019,19,0,21,25,21,35,1295.0
Air India,2019-06-24,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,21h 15m,2,0,9181.0,24,6,2019,19,15,22,0,21,15,1275.0
Jet Airways,2019-03-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,05:05,23h 20m,1,1,11087.0,3,3,2019,5,5,5,45,23,20,1400.0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1,1,10262.0,27,6,2019,12,35,7,5,5,30,330.0
Jet Airways,2019-06-04,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,0,1,4886.0,4,6,2019,14,15,11,0,3,15,195.0
IndiGo,2019-03-21,Delhi,Cochin,DEL → BBI → COK,02:35,08:30,5h 55m,1,0,8470.0,21,3,2019,8,30,2,35,5,55,355.0
Air India,2019-05-21,Kolkata,Banglore,CCU → GAU → IMF → DEL → BLR,09:50,23:15,13h 25m,3,0,14960.0,21,5,2019,23,15,9,50,13,25,805.0
SpiceJet,2019-09-05,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,0,0,3873.0,5,9,2019,9,30,6,55,2,35,155.0
Air India,2019-09-03,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15,26h 35m,2,0,11911.0,3,9,2019,19,15,16,40,26,35,1595.0
Air India,2019-06-15,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1,0,8907.0,15,6,2019,23,0,9,45,13,15,795.0
SpiceJet,2019-09-05,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,0,2,3859.0,5,9,2019,10,35,8,20,2,15,135.0
Air Asia,2019-06-24,Kolkata,Banglore,CCU → BLR,22:50,01:20,2h 30m,0,0,3807.0,24,6,2019,1,20,22,50,2,30,150.0
Air Asia,2019-06-03,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,0,0,4384.0,3,6,2019,12,55,10,20,2,35,155.0
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,04:55,12:35,7h 40m,1,0,11622.0,6,3,2019,12,35,4,55,7,40,460.0
Vistara,2019-03-24,Banglore,New Delhi,BLR → DEL,19:40,22:20,2h 40m,0,0,4563.0,24,3,2019,22,20,19,40,2,40,160.0
SpiceJet,2019-01-04,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,0,2,1965.0,4,1,2019,14,45,13,15,1,30,90.0
Air India,2019-04-24,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,0,0,4145.0,24,4,2019,23,20,20,45,2,35,155.0
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,21:10,20:40,23h 30m,1,1,10031.0,24,3,2019,20,40,21,10,23,30,1410.0
Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,23:10,6h 10m,1,0,11628.0,3,1,2019,23,10,17,0,6,10,370.0
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1,1,10262.0,15,6,2019,12,35,7,5,5,30,330.0
SpiceJet,2019-06-24,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,0,0,2017.0,24,6,2019,14,45,13,15,1,30,90.0
Vistara,2019-04-27,Delhi,Cochin,DEL → COK,06:00,09:10,3h 10m,0,0,6216.0,27,4,2019,9,10,6,0,3,10,190.0
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,01:30,13h 55m,3,0,16294.0,15,5,2019,1,30,11,35,13,55,835.0
IndiGo,2019-03-06,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,0,0,3943.0,6,3,2019,6,50,4,0,2,50,170.0
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,14:55,22:30,7h 35m,1,0,7038.0,27,5,2019,22,30,14,55,7,35,455.0
SpiceJet,2019-09-03,Banglore,New Delhi,BLR → PNQ → DEL,10:20,18:15,7h 55m,1,0,7294.0,3,9,2019,18,15,10,20,7,55,475.0
SpiceJet,2019-06-04,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,0,0,3873.0,4,6,2019,11,25,9,0,2,25,145.0
Air India,2019-06-18,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,0,0,3100.0,18,6,2019,15,25,13,55,1,30,90.0
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1,0,12507.0,27,5,2019,19,0,10,0,9,0,540.0
Air Asia,2019-05-21,Delhi,Cochin,DEL → BLR → COK,07:55,22:30,14h 35m,1,0,6152.0,21,5,2019,22,30,7,55,14,35,875.0
Air India,2019-01-04,Kolkata,Banglore,CCU → GAU → BLR,09:50,21:05,11h 15m,1,0,8030.0,4,1,2019,21,5,9,50,11,15,675.0
Jet Airways,2019-06-18,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,0,1,5769.0,18,6,2019,11,20,8,20,3,0,180.0
IndiGo,2019-06-06,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,0,0,4804.0,6,6,2019,19,50,17,15,2,35,155.0
Air India,2019-05-18,Delhi,Cochin,DEL → MAA → COK,09:45,09:25,23h 40m,1,0,8372.0,18,5,2019,9,25,9,45,23,40,1420.0
Jet Airways,2019-03-15,Banglore,New Delhi,BLR → MAA → DEL,09:45,14:25,4h 40m,1,0,8578.0,15,3,2019,14,25,9,45,4,40,280.0
Air India,2019-05-18,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,21h 15m,2,0,11228.0,18,5,2019,19,15,22,0,21,15,1275.0
Air India,2019-01-05,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,08:55,23h 5m,2,0,13227.0,5,1,2019,8,55,9,50,23,5,1385.0
IndiGo,2019-03-15,Banglore,New Delhi,BLR → DEL,20:00,22:55,2h 55m,0,0,8855.0,15,3,2019,22,55,20,0,2,55,175.0
